"file_name","part_code","day_of_recording","recording_number","topic","file_name_csv","duration_original","vocab_size","age","order"
"P_0471_25_1_MEAL__","P_0471",28,1,"MEAL","P_0471_25_1_MEAL__.csv",1800,43,25.05260389,69
"P_0259_18_3_MEAL__","P_0259",35,3,"MEAL","P_0259_18_3_MEAL__.csv",1961,61,18.47711731,70
"P_0280_27_6_PLAY__","P_0280",48,6,"PLAY","P_0280_27_6_PLAY__.csv",1537,130,27.28826933,71
"P_0229_23_4_MEAL__","P_0229",138,4,"MEAL","P_0229_23_4_MEAL__.csv",1183,157,23.57311941,72
"P_0387_21_6_NAPPY__","P_0387",149,6,"NAPPY","P_0387_21_6_NAPPY__.csv",2304,54,21.50184114,73
"P_0180_18_4_NAPPY__","P_0180",27,4,"NAPPY","P_0180_18_4_NAPPY__.csv",923,76,18.31273014,74
"P_0286_22_4_NAPPY__","P_0286",105,4,"NAPPY","P_0286_22_4_NAPPY__.csv",878,195,22.61967386,75
"P_0204_23_7_BATH__","P_0204",111,7,"BATH","P_0204_23_7_BATH__.csv",2209,110,23.90189374,76
"P_0346_20_4_BATH__","P_0346",104,4,"BATH","P_0346_20_4_BATH__.csv",1176,47,20.61415045,77
"P_0298_25_4_BATH__","P_0298",83,4,"BATH","P_0298_25_4_BATH__.csv",1206,260,25.94029458,78
"P_0277_17_6_BATH__","P_0277",125,6,"BATH","P_0277_17_6_BATH__.csv",1801,162,17.68805892,79
"P_0203_15_3_NAPPY__","P_0203",33,3,"NAPPY","P_0203_15_3_NAPPY__.csv",1445,47,15.51814834,80
"P_0248_22_5_PLAY__","P_0248",149,5,"PLAY","P_0248_22_5_PLAY__.csv",568,162,22.75118359,81
"P_0153_21_3_BED__","P_0153",11,3,"BED","P_0153_21_3_BED__.csv",929,67,21.92924776,82
"P_0137_22_3_BED__","P_0137",115,3,"BED","P_0137_22_3_BED__.csv",863,99,22.91557075,83
"P_0153_21_1_MEAL__","P_0153",4,1,"MEAL","P_0153_21_1_MEAL__.csv",1222,67,21.92924776,84
"P_0449_21_10_BATH__","P_0449",87,10,"BATH","P_0449_21_10_BATH__.csv",1224,134,21.567596,85
"P_0298_28_9_NAPPY__","P_0298",167,9,"NAPPY","P_0298_28_9_NAPPY__.csv",566,324,28.37322462,86
"P_0203_17_4_BED__","P_0203",121,4,"BED","P_0203_17_4_BED__.csv",1776,81,17.19489742,87
"P_0204_24_8_BED__","P_0204",125,8,"BED","P_0204_24_8_BED__.csv",1623,167,24.19779064,88
"P_0463_18_7_PLAY__","P_0463",140,7,"PLAY","P_0463_18_7_PLAY__.csv",1582,155,18.70725934,89
"P_0516_15_4_NAPPY__","P_0516",152,4,"NAPPY","P_0516_15_4_NAPPY__.csv",1099,36,15.61678064,90
"P_0404_19_6_MEAL__","P_0404",13,6,"MEAL","P_0404_19_6_MEAL__.csv",1775,187,19.29905313,91
"P_0480_22_10_BATH__","P_0480",159,10,"BATH","P_0480_22_10_BATH__.csv",1223,239,22.15938979,92
"P_0408_20_6_MEAL__","P_0408",114,6,"MEAL","P_0408_20_6_MEAL__.csv",1648,53,20.02235665,93
"P_0182_17_2_BED__","P_0182",41,2,"BED","P_0182_17_2_BED__.csv",1795,41,17.32640715,94
"P_0229_21_3_NAPPY__","P_0229",78,3,"NAPPY","P_0229_21_3_NAPPY__.csv",1815,101,21.23882167,95
"P_0502_21_8_NAPPY__","P_0502",53,8,"NAPPY","P_0502_21_8_NAPPY__.csv",361,148,21.63335087,96
"P_0489_16_2_BED__","P_0489",43,2,"BED","P_0489_16_2_BED__.csv",111,10,16.73461336,97
"P_0300_21_2_MEAL__","P_0300",23,2,"MEAL","P_0300_21_2_MEAL__.csv",42,12,21.3703314,98
"P_0300_24_7_BED__","P_0300",118,7,"BED","P_0300_24_7_BED__.csv",81,36,24.29642294,99
"P_0488_29_2_NAPPY__","P_0488",41,2,"NAPPY","P_0488_29_2_NAPPY__.csv",922,57,29.72119937,100
"P_0300_24_8_BED__","P_0300",118,8,"BED","P_0300_24_8_BED__.csv",292,36,24.29642294,101
"P_0498_17_1_NAPPY__","P_0498",163,1,"NAPPY","P_0498_17_1_NAPPY__.csv",973,47,17.85244608,102
"P_0387_19_2_PLAY__","P_0387",88,2,"PLAY","P_0387_19_2_PLAY__.csv",886,13,19.46344029,103
"P_0359_19_2_BED__","P_0359",43,2,"BED","P_0359_19_2_BED__.csv",421,19,19.10178853,104
"P_0376_14_2_BED__","P_0376",35,2,"BED","P_0376_14_2_BED__.csv",804,25,14.53182536,105
"P_0359_19_3_BED__","P_0359",43,3,"BED","P_0359_19_3_BED__.csv",801,19,19.10178853,106
"P_0498_18_2_PLAY__","P_0498",104,2,"PLAY","P_0498_18_2_PLAY__.csv",1093,78,18.93740137,107
"P_0489_18_7_PLAY__","P_0489",91,7,"PLAY","P_0489_18_7_PLAY__.csv",1460,16,18.47711731,108
"P_0324_20_4_PLAY__","P_0324",27,4,"PLAY","P_0324_20_4_PLAY__.csv",657,231,20.74566018,109
"P_0498_21_4_BATH__","P_0498",167,4,"BATH","P_0498_21_4_BATH__.csv",1239,181,21.10731194,110
"P_0280_25_2_BED__","P_0280",32,2,"BED","P_0280_25_2_BED__.csv",1218,100,25.11835876,111
"P_0505_14_2_BED__","P_0505",39,2,"BED","P_0505_14_2_BED__.csv",1434,19,14.23592846,112
"P_0516_16_5_BATH__","P_0516",82,5,"BATH","P_0516_16_5_BATH__.csv",1017,79,16.04418727,113
"P_0408_20_7_BED__","P_0408",135,7,"BED","P_0408_20_7_BED__.csv",1225,63,20.67990531,114
"P_0183_24_6_BED__","P_0183",116,6,"BED","P_0183_24_6_BED__.csv",1530,222,24.13203577,115
"P_0505_17_7_PLAY__","P_0505",138,7,"PLAY","P_0505_17_7_PLAY__.csv",1682,51,17.81956865,116
